timestamp_s,latitude_deg,longitude_deg,altitude_m,speed_m_per_s
1735732800.0,37.613012,-122.396263,8.0,30
1735732800.1,37.6129909,-122.3962417,9.0,30
1735732800.2,37.6129701,-122.39622,9.0,30
1735732800.3,37.6129493,-122.3961983,9.0,30
1735732800.4,37.6129285,-122.3961767,9.0,30
1735732800.5,37.6129076,-122.396155,9.0,30
1735732800.6,37.6128868,-122.3961333,9.0,30
1735732800.7,37.612866,-122.3961116,9.0,30
1735732800.8,37.6128452,-122.39609,9.0,30
1735732800.9,37.6128244,-122.3960683,9.0,30
1735732801.0,37.6128036,-122.3960466,9.0,30
1735732801.1,37.6127831,-122.3960244,8.9,30
1735732801.2,37.6127627,-122.3960021,8.8,30
1735732801.3,37.6127423,-122.3959799,8.69,30
1735732801.4,37.6127219,-122.3959576,8.59,30
1735732801.5,37.6127014,-122.3959353,8.49,30
1735732801.6,37.612681,-122.395913,8.39,30
1735732801.7,37.6126606,-122.3958908,8.28,30
1735732801.8,37.6126402,-122.3958685,8.18,30
1735732801.9,37.6126198,-122.3958462,8.08,30
1735732802.0,37.6125995,-122.3958238,8.0,30
1735732802.1,37.6125795,-122.3958009,8.0,30
1735732802.2,37.6125596,-122.395778,8.0,30
1735732802.3,37.6125396,-122.3957551,8.0,30
1735732802.4,37.6125196,-122.3957322,8.0,30
1735732802.5,37.6124997,-122.3957093,8.0,30
1735732802.6,37.6124797,-122.3956864,8.0,30
1735732802.7,37.6124597,-122.3956635,8.0,30
1735732802.8,37.6124398,-122.3956406,8.0,30
1735732802.9,37.6124198,-122.3956177,8.0,30
1735732803.0,37.6124,-122.3955946,8.0,30
1735732803.1,37.6123804,-122.3955712,8.0,30
1735732803.2,37.6123608,-122.3955478,8.0,30
1735732803.3,37.6123412,-122.3955244,8.0,30
1735732803.4,37.6123216,-122.395501,8.0,30
1735732803.5,37.612302,-122.3954776,8.0,30
1735732803.6,37.6122824,-122.3954542,8.0,30
1735732803.7,37.6122628,-122.3954308,8.0,30
1735732803.8,37.6122432,-122.3954074,8.0,30
1735732803.9,37.6122238,-122.3953837,8.0,30
1735732804.0,37.6122047,-122.3953597,8.0,30
1735732804.1,37.6121855,-122.3953357,8.0,30
1735732804.2,37.6121664,-122.3953118,8.0,30
1735732804.3,37.6121472,-122.3952878,8.0,30
1735732804.4,37.6121281,-122.3952638,8.0,30
1735732804.5,37.6121089,-122.3952398,8.0,30
1735732804.6,37.6120898,-122.3952158,8.0,30
1735732804.7,37.6120706,-122.3951918,8.0,30
1735732804.8,37.6120515,-122.3951679,8.0,30
1735732804.9,37.6120327,-122.3951435,8.1,30
1735732805.0,37.6120139,-122.3951191,8.2,30
1735732805.1,37.6119951,-122.3950947,8.31,30
1735732805.2,37.6119763,-122.3950703,8.41,30
1735732805.3,37.6119575,-122.3950459,8.51,30
1735732805.4,37.6119387,-122.3950215,8.62,30
1735732805.5,37.6119199,-122.394997,8.72,30
1735732805.6,37.6119011,-122.3949726,8.82,30
1735732805.7,37.6118823,-122.3949482,8.93,30
1735732805.8,37.6118636,-122.3949236,9.0,30
1735732805.9,37.6118453,-122.3948985,9.0,30
1735732806.0,37.6118271,-122.3948735,9.0,30
1735732806.1,37.6118088,-122.3948484,9.0,30
1735732806.2,37.6117906,-122.3948234,9.0,30
1735732806.3,37.6117723,-122.3947983,9.0,30
1735732806.4,37.6117541,-122.3947732,9.0,30
1735732806.5,37.6117358,-122.3947482,9.0,30
1735732806.6,37.6117176,-122.3947231,9.0,30
1735732806.7,37.6116993,-122.3946981,9.0,30
1735732806.8,37.6116813,-122.3946727,9.0,30
1735732806.9,37.6116634,-122.3946472,9.0,30
1735732807.0,37.6116456,-122.3946217,9.0,30
1735732807.1,37.6116277,-122.3945962,9.0,30
1735732807.2,37.6116099,-122.3945707,9.0,30
1735732807.3,37.611592,-122.3945452,9.0,30
1735732807.4,37.6115742,-122.3945197,9.0,30
1735732807.5,37.6115563,-122.3944941,9.0,30
1735732807.6,37.6115384,-122.3944686,9.0,30
1735732807.7,37.6115209,-122.3944428,9.0,30
1735732807.8,37.6115036,-122.3944167,9.0,30
1735732807.9,37.6114863,-122.3943906,9.0,30
